match_id,player,row,deuce_wide,deuce_middle,deuce_t,ad_wide,ad_middle,ad_t,err_net,err_wide,err_deep,err_wide_deep,err_foot,err_unknown
20241009-M-Shanghai_Masters-R16-Gael_Monfils-Carlos_Alcaraz,Carlos Alcaraz,2,3,1,7,5,1,1,12,3,3,0,0,0
20241005-M-Shanghai_Masters-R64-Juncheng_Shang-Carlos_Alcaraz,Juncheng Shang,Total,8,5,13,12,6,7,12,3,11,0,0,0
20241005-M-Shanghai_Masters-R64-Juncheng_Shang-Carlos_Alcaraz,Juncheng Shang,1,5,1,8,6,2,5,0,0,0,0,0,0
20241005-M-Shanghai_Masters-R64-Juncheng_Shang-Carlos_Alcaraz,Juncheng Shang,2,3,4,5,6,4,2,12,3,11,0,0,0
20241005-M-Shanghai_Masters-R64-Juncheng_Shang-Carlos_Alcaraz,Carlos Alcaraz,Total,13,6,6,7,3,13,12,3,9,0,0,0
20241005-M-Shanghai_Masters-R64-Juncheng_Shang-Carlos_Alcaraz,Carlos Alcaraz,1,6,2,3,3,2,8,0,0,0,0,0,0
20241005-M-Shanghai_Masters-R64-Juncheng_Shang-Carlos_Alcaraz,Carlos Alcaraz,2,7,4,3,4,1,5,12,3,9,0,0,0
20241002-M-Beijing-F-Carlos_Alcaraz-Jannik_Sinner,Carlos Alcaraz,Total,30,6,27,38,8,14,20,10,20,0,0,0
20241002-M-Beijing-F-Carlos_Alcaraz-Jannik_Sinner,Carlos Alcaraz,1,28,2,7,19,6,13,0,0,0,0,0,0
20241002-M-Beijing-F-Carlos_Alcaraz-Jannik_Sinner,Carlos Alcaraz,2,2,4,20,19,2,1,20,10,20,0,0,0
20241002-M-Beijing-F-Carlos_Alcaraz-Jannik_Sinner,Jannik Sinner,Total,24,10,32,32,12,19,18,12,32,0,0,0
20241002-M-Beijing-F-Carlos_Alcaraz-Jannik_Sinner,Jannik Sinner,1,18,2,19,18,0,14,0,0,0,0,0,0
20241002-M-Beijing-F-Carlos_Alcaraz-Jannik_Sinner,Jannik Sinner,2,6,8,13,14,12,5,18,12,32,0,0,0
20241001-M-Beijing-SF-Daniil_Medvedev-Carlos_Alcaraz,Daniil Medvedev,Total,20,1,14,15,2,14,8,8,10,0,0,0
20241001-M-Beijing-SF-Daniil_Medvedev-Carlos_Alcaraz,Daniil Medvedev,1,15,0,8,7,1,11,0,0,0,0,0,0
20241001-M-Beijing-SF-Daniil_Medvedev-Carlos_Alcaraz,Daniil Medvedev,2,5,1,6,8,1,3,8,8,10,0,0,0
20241001-M-Beijing-SF-Daniil_Medvedev-Carlos_Alcaraz,Carlos Alcaraz,Total,13,2,13,12,4,9,6,3,9,0,0,0
20241001-M-Beijing-SF-Daniil_Medvedev-Carlos_Alcaraz,Carlos Alcaraz,1,11,1,10,5,1,8,0,0,0,0,0,0
